1,Бухгалтерский учет,Accounting,2,2,"ИН-6, Торговое дело-5, Математика (статистика)-5, Финансы-4, Торговля-5",,"Это способности вести бухгалтерские книги, определять состояние бизнеса и т.д. Успешный просок Бухучета (требуется приблизительно два часа исследований, но может занять месяцы для крупных корпораций) может сообщить вам, правильны ли бухгалтерские записи – и, возможно, открыть факт подделки, подлога или подобной криминальной активности","за потраченное время (с.346). Таланты (с.89) Счетовод и Математические способности также дают премию (накопительную, если имеются оба).",0
2,Акробатика,Acrobatics,1,2,ЛВ-6,,"Это умение выполнять акробатические или гимнастические трюки, сгибаться, правильно падать и т.д. Это может оказаться полезным в приключении; хождение по канату, создание пирамиды из людей, прыжки на трапеции, - все это может пригодиться.
Для каждого трюка требуется отдельный бросок умения (с подходящими, на взгляд Мастера, штрафами). Если вы пытаетесь использовать умение на движущемся транспортном средстве, бросок делается против низшего из значений Акробатики и соответствующего умения Вождения или Верховой езды.
Бросок умения Акробатика может заменить собой  бросок ЛВ при любой попытке прыгнуть, перевернуться, избежать Сбивания с ног и т.д. Персонаж, пытающийся уклониться, может попробовать выполнить Акробатическое уклонение, прыжок или переворот, который позволяет вам избежать попадания очень эффектным образом (с.375). Удачный бросок умения Акробатика также может снизить эффективную высоту падения на 5 ярдов (Падение, с.431). Мастер имеет право назначить штраф на свое усмотрение, если он считает какой-то трюк особо сложным. По умолчанию Акробатика, Аэробатика и Аквабатика относятся друг к другу с -4. Идеальное равновесие (с.74) дает +1 к любому из этих умений.",,0
3,Артистизм,Acting,1,1,"ИН-5, Выступление-2, Публичное выступление-5",,"Способность подделывать настроение, эмоции, голоса и убедительно лгать некоторое время. Мастер может потребовать броска умения когда вы пытаетесь обмануть кого-либо, имитировать смерть в бою и пр.
Подражание: особый тип Артистизма. Для подражания кому-то вы сначала должны успешно загримироваться (Изменение внешности, с.187) – разве что другие вас не видят.
Заметьте, что Артистизм – не то же самое, что Заговаривание зубов (искусство быстрого обмана) или Выступление (умение сценического выступления)."," +1 за каждое очко ИН, на которое ваш ИН выше жертвы (или умнейшей жертвы в группе), или -1 за каждое очко разницы, если жертва умнее вас; -3 за Нечувствительность (с.142), от -1 до -4 за Застенчивость (с.154), -5 за Правдивость (с.159) (только если пытаетесь обмануть). Для Подражания: -5, если вы не очень знакомы с субъектом, -5, если те, кого вы обманываете, знакомы с субъектом (-10, если очень хорошо знакомы).",0
4,Администрирование,Administration,2,1,"ИН-5, Торговое дело-3",,"Это умение управлять крупной организацией. Зачастую оно необходимо для приобретения высокого Звания (с.29). Успешный бросок Администрации может также дать премию +2 к реакции при общении с чиновниками и позволит понять, как лучше всего иметь дело с бюрократией.",,0
5,Алхимия/ТУ,Alchemy,2,3,нет,,"Алхимия - это наука магической трансформации и трансмутации. В магических мирах, алхимик может идентифицировать составы с магическим эффектом («эликсиры», такие как приворотные зелья и целительные мази), и создавать их из подходящих ингредиентов. Это механический процесс, использующий магическую составляющую в различных веществах. Таким образом, Алхимию можно изучать без Магических способностей! И наоборот, способность к магии не даёт никаких преимуществ при изучении алхимии.",,0
6,Обращение с животными,Animal Handling,2,2,ИН-5,,"Это умение характеризует вашу способность дрессировать животных и работать с ними. Вы должны специализироваться на одной из категорий – чем более разумно животное, тем уже его категория. Примеры: крупные кошачьи (ягуары, львы, тигры), Собачьи, Лошадиные (лошади, ослы), Стервятники (орлы, соколы, ястребы). Специализации по умолчанию относятся друг к другу с -2, если они одного типа (собаки и кошки), -4 за различные (собаки и лошади), и -6 за большие различия (собаки и стервятники).
Чтобы дрессировать животное, персонаж должен делать бросок один раз за каждый день тренировки. Провальный бросок означает, что животное ничему не научилось, полностью провальный бросок означает, что дрессировщик был атакован животным. Время, которое придется потратить на тренировку, обычно зависит от интеллекта животного и его послушания (см. Главу 16). При работе с дрессированным животным дрессировщик делает бросок своего умения для каждого задания, которое он дает животному. Вы получите -5, если животное не знакомо с дрессировщиком, -5, если животное находится в стрессовой ситуации, -3 или больше, если задание трудное. Для показательных цирковых искусств, контролирования змей и т.п. трюков необходим отдельный бросок Выступления!
Это умение можно использовать (иногда), чтобы успокоить дикое, опасное и необученное животное. Этот бросок делается с -5 , если животное дикое или очень напуганное. -10 , если это животное-людоед или если оно убивает людей.
И наконец, это умение дает преимущество во время боя с животными. Если ваше  умение 15 или больше, то все броски атаки и защиты животного против вас получают штраф  -1, потому что вы можете предугадать его поведение. Если вы эксперт (умение 20 или больше), то броски животного получают штраф -2.",,1
7,Антропология,Antopology,2,2,"ИН-6, Палеоантропология-2, Социология-3",,"Это наука об эволюции человека и культуры. Антрополог хорошо осведомлен о первобытных (и не только) группах людей (или о других разумных существах, которых он изучает). Бросок Антропологии поможет при попытке объяснить или даже предсказать необычные ритуалы и народные обычаи, с которыми может столкнуться путешественник. Специализация необходима (если ее нет, то подразумевается, что антрополог специализируется на своем виде). Каждая специализация относится друг к другу с -2 и хуже, но уровень по умолчанию может отсутствовать в случае с совершенно чужеродными друг другу видами.",,1
8,Археология,Archaeology,2,2,ИН-6,,"Это наука о древних цивилизациях. Археолог чувствует себя как дома на раскопках, рядом с древними черепками, надписями и т.д. При успешном броске археолог сможет ответить на вопросы относительно древней истории, идентифицировать находки, мертвые языки и так далее. Иногда археолог обладает информацией, касающейся оккультизма - например это Древние секреты и Вещи, о которых человек не должен знать...",,0
9,Архитектура/ТУ,Architecture,2,1,"ИН-5, Инженер-4",,"Это способность проектировать здания и вычислять проекты зданий, зная об их функциях, и наоборот. Успешный бросок Архитектуры позволит вам узнать что-либо о странном здании, найти секретную комнату или дверь и т.д. ", -2 для здания странного типа,0
10,Знание местности,Area Knowledge,2,0,ИН-4 или География-3,,"Это умение отражает знакомство с населением, политикой и географией определенной местности. Обычно персонаж обладает Знанием местности только для места, которое он считает своим домом, будь то единственная ферма или Солнечная Система. Если доступна информация и о других регионах, то Мастер может позволить персонажу изучить Знание местности для других мест. Мастер не должен требовать броска Знания местности в обычной ситуации: когда нужно найти кузницу, таверну или собственный дом. Но бросок нужен, чтобы обнаружить кузнеца, который готов подковать вашу лошадь в 3 часа ночи, или найти наилучшее место для засады на дороге. «Тайная» или очень непонятная информация даст штраф, или же ее вовсе нельзя будет выяснить с помощью Знания местности. Например, Знание местности Вашингтона поможет вам найти российское посольство, но не резидентуру КГБ.
Вещи, которые можно выяснить с помощью Знания местности, частично совпадают с умениями Знание улиц, Навигация, Натуралист, Политика и т.д. Разница в том, что Знание местности работает только в определенном районе; вы знаете о привычках этого бандита или главаря шайки, но это не дает вам знаний обо всех подобных людях.
Знание местности можно приобрести для местности любого размера. Чем больше данная территория, тем меньше «конкретных» и больше общих сведений вы получаете. Почти все персонажи будут обладать Знанием местности одного вида. Вот некоторые примеры (в своей кампании Мастер может добавить и другие): Хутор (Несколько сотен акров): знание местных фермеров или соплеменников, тропинок, ручьев, убежищ, удобных для засады мест, флоры и фауны.
Деревня, село или небольшой городок: все важные жители и дела и почти все маловажные; все общественные здания и большинство домов.
Город: все важные вещи, улицы, горожане, лидеры и т.д.
Баронство, графство, княжество или небольшое государство: общие сведенья о его городах и поселениях, феодальной структуре, лидерах и большинстве жителей со Статусом 5 и выше.
Большое государство: расположение крупнейших городов и важных мест; знакомство с общими обычаями, народами и языками (но не обязательно хорошее их знание); имена людей со Статусом 6+ и общее понимание экономической и политической ситуации.
Планета: то же, что и для большого государства, но информация более общая; знание людей лишь со Статусом 7+.
Межпланетное государство: расположение важнейших планет; знание крупнейших народов (но не обязательно хорошее их знание); знание людей со Статусом 7+; общее понимание экономической и политической ситуации.
Галактика: местонахождение столиц межпланетных государств и родные планеты распространенных рас; общие сведения обо всех распространенных расах; знание людей со статусом 8+; общее понимание связей между межпланетными государствами.
Знание местности для больших, чем галактика, областей предоставляет настолько общую информацию, что она становится бессмысленной.
Бросок ИН-4 по умолчанию разрешена, только если вы живете или когда-то жили в этой местности. Однако, широта местности различается на разных ТУ, в зависимости от наличия информации. Охотник ТУ 0 будет знаком лишь со своим поселком, а студент ТУ 8 может обладать общими знаниями на планетарном уровне. Вы должны жить в межпланетном или межзвездном государстве, чтобы получить знание по умолчанию об области свыше Планеты.
В некоторых игровых мирах доступны более специфические виды Знания области (Киберпространство, Мир снов, и пр.). существование и доступность таких умений определяет Мастер.",,1
